fd,seed,unit,n_unit,t_knee,t_cp,t_knee_frac,t_cp_frac
FD001,4,47,184,58.0,40,0.31521739130434784,0.21739130434782608
FD001,4,51,183,57.0,36,0.3114754098360656,0.19672131147540983
FD001,4,56,245,119.0,26,0.4857142857142857,0.10612244897959183
FD001,4,59,201,75.0,27,0.373134328358209,0.13432835820895522
FD001,4,70,107,,106,,0.9906542056074766
FD001,4,73,183,57.0,17,0.3114754098360656,0.09289617486338798
FD001,4,88,183,57.0,21,0.3114754098360656,0.11475409836065574
FD001,4,99,155,29.0,23,0.1870967741935484,0.14838709677419354
FD002,0,10,154,28.0,13,0.18181818181818182,0.08441558441558442
FD002,0,22,162,36.0,33,0.2222222222222222,0.2037037037037037
FD002,0,37,180,54.0,13,0.3,0.07222222222222222
FD002,0,40,163,37.0,25,0.22699386503067484,0.15337423312883436
FD002,0,48,209,83.0,46,0.39712918660287083,0.22009569377990432
FD002,0,59,164,38.0,68,0.23170731707317074,0.4146341463414634
FD002,0,68,155,29.0,154,0.1870967741935484,0.9935483870967742
FD002,0,71,164,38.0,126,0.23170731707317074,0.7682926829268293
FD002,0,82,170,44.0,38,0.25882352941176473,0.2235294117647059
FD002,0,88,335,209.0,135,0.6238805970149254,0.40298507462686567
FD002,0,89,158,32.0,16,0.20253164556962025,0.10126582278481013
FD002,0,104,198,72.0,44,0.36363636363636365,0.2222222222222222
FD002,0,118,314,188.0,13,0.5987261146496815,0.041401273885350316
FD002,0,141,133,7.0,34,0.05263157894736842,0.2556390977443609
FD002,0,173,121,,13,,0.10743801652892562
FD002,0,175,172,46.0,61,0.26744186046511625,0.3546511627906977
FD002,0,193,142,16.0,51,0.11267605633802817,0.3591549295774648
FD002,0,194,118,,14,,0.11864406779661017
FD002,0,196,209,83.0,19,0.39712918660287083,0.09090909090909091
FD002,0,212,119,,11,,0.09243697478991597
FD002,0,217,132,6.0,15,0.045454545454545456,0.11363636363636363
FD002,0,231,114,,13,,0.11403508771929824
FD002,0,243,200,74.0,13,0.37,0.065
FD002,0,244,98,,97,,0.9897959183673469
FD002,0,247,167,41.0,35,0.24550898203592814,0.20958083832335328
FD002,0,252,105,,104,,0.9904761904761905
FD002,1,21,159,33.0,20,0.20754716981132076,0.12578616352201258
FD002,1,26,157,31.0,19,0.19745222929936307,0.12101910828025478
FD002,1,38,147,21.0,37,0.14285714285714285,0.25170068027210885
FD002,1,72,166,40.0,13,0.24096385542168675,0.0783132530120482
FD002,1,73,209,83.0,33,0.39712918660287083,0.15789473684210525
FD002,1,80,191,65.0,37,0.3403141361256545,0.193717277486911
FD002,1,102,134,8.0,99,0.05970149253731343,0.7388059701492538
FD002,1,130,152,26.0,12,0.17105263157894737,0.07894736842105263
FD002,1,134,217,91.0,53,0.41935483870967744,0.24423963133640553
FD002,1,135,264,138.0,25,0.5227272727272727,0.0946969696969697
FD002,1,138,170,44.0,54,0.25882352941176473,0.3176470588235294
FD002,1,140,184,58.0,45,0.31521739130434784,0.24456521739130435
FD002,1,143,136,10.0,45,0.07352941176470588,0.33088235294117646
FD002,1,145,221,95.0,20,0.4298642533936652,0.09049773755656108
FD002,1,147,177,51.0,72,0.288135593220339,0.4067796610169492
FD002,1,157,207,81.0,56,0.391304347826087,0.27053140096618356
FD002,1,158,278,152.0,38,0.5467625899280576,0.1366906474820144
FD002,1,179,151,25.0,26,0.16556291390728478,0.17218543046357615
FD002,1,193,142,16.0,50,0.11267605633802817,0.352112676056338
FD002,1,204,207,81.0,14,0.391304347826087,0.06763285024154589
FD002,1,205,168,42.0,11,0.25,0.06547619047619048
FD002,1,213,166,40.0,67,0.24096385542168675,0.4036144578313253
FD002,1,235,153,27.0,12,0.17647058823529413,0.0784313725490196
