fd,convention,method,stage,ecr_unbounded_as_covered,ecr_finite_only,unbounded_rate,n_inf,n_total
FD003,Fixed-fraction,Mondrian CP (frozen),middle,0.7236244445583614,0.7236244445583614,0.0020622808826562177,10,4849
FD003,Fixed-fraction,Mondrian CP (frozen),late,0.9025771229273154,0.869841564999751,0.15646114864864866,741,4736
FD003,CUSUM,MC-Dropout,early,,0.9948717948717948,0.0,0,1384
FD003,CUSUM,MC-Dropout,middle,,0.9901655011655012,0.0,0,1417
FD003,CUSUM,MC-Dropout,late,,0.8532916798828794,0.0,0,11455
FD003,CUSUM,Split CP,early,,0.9888888888888888,0.0,0,1384
FD003,CUSUM,Split CP,middle,,0.9872051282051283,0.0,0,1417
FD003,CUSUM,Split CP,late,,0.8302634800007554,0.0,0,11455
FD003,CUSUM,Mondrian CP (online),early,0.8166311642366425,0.8166311642366425,0.0,0,1384
FD003,CUSUM,Mondrian CP (online),middle,0.750362285263406,0.750362285263406,0.0,0,1417
FD003,CUSUM,Mondrian CP (online),late,0.8015210130955045,0.8015210130955045,0.0,0,11455
FD003,CUSUM,Mondrian CP (frozen),early,0.8165284540977871,0.8164508155472977,0.00939306358381503,13,1384
FD003,CUSUM,Mondrian CP (frozen),middle,0.925574799927741,0.925574799927741,0.029640084685956247,42,1417
FD003,CUSUM,Mondrian CP (frozen),late,0.825104086286293,0.8219960968813675,0.06556089044085552,751,11455
FD003,TrainPct,MC-Dropout,early,,0.8879844139012606,0.0,0,10348
FD003,TrainPct,MC-Dropout,middle,,0.9352631805773309,0.0,0,2084
FD003,TrainPct,MC-Dropout,late,,0.934636425017791,0.0,0,1824
FD003,TrainPct,Split CP,early,,0.8704218936805708,0.0,0,10348
FD003,TrainPct,Split CP,middle,,0.9068849231763365,0.0,0,2084
FD003,TrainPct,Split CP,late,,0.9134224053049084,0.0,0,1824
FD003,TrainPct,Mondrian CP (online),early,0.7967927499383162,0.7967927499383162,0.0,0,10348
FD003,TrainPct,Mondrian CP (online),middle,0.9153894849763291,0.9153894849763291,0.0,0,2084
FD003,TrainPct,Mondrian CP (online),late,0.9562824775574991,0.9562824775574991,0.0,0,1824
FD003,TrainPct,Mondrian CP (frozen),early,0.8376652920841192,0.8375769234234889,0.005315036722071898,55,10348
FD003,TrainPct,Mondrian CP (frozen),middle,0.8974902879127974,0.8974902879127974,0.0,0,2084
FD003,TrainPct,Mondrian CP (frozen),late,0.9542750990476212,0.9065995281136342,0.41173245614035087,751,1824
FD003,Matched,MC-Dropout,early,,0.9927405927405927,0.0,0,1353
FD003,Matched,MC-Dropout,middle,,0.9743706293706292,0.0,0,1413
FD003,Matched,MC-Dropout,late,,0.8553070212346789,0.0,0,11490
FD003,Matched,Split CP,early,,0.9872460872460872,0.0,0,1353
FD003,Matched,Split CP,middle,,0.9608724319159102,0.0,0,1413
FD003,Matched,Split CP,late,,0.8316751778703396,0.0,0,11490
FD003,Matched,Mondrian CP (online),early,0.7919190244455386,0.7919190244455386,0.0,0,1353
FD003,Matched,Mondrian CP (online),middle,0.8577004645357399,0.8577004645357399,0.0,0,1413
FD003,Matched,Mondrian CP (online),late,0.7981736434681039,0.7981736434681039,0.0,0,11490
FD003,Matched,Mondrian CP (frozen),early,0.830103570955902,0.830103570955902,0.0,0,1353
FD003,Matched,Mondrian CP (frozen),middle,0.8912803490813016,0.8912469949016059,0.00778485491861288,11,1413
FD003,Matched,Mondrian CP (frozen),late,0.8258149227218148,0.8217923008271815,0.06919060052219321,795,11490
FD004,Fixed-fraction,MC-Dropout,early,,0.9682002132052168,0.0,0,11189
FD004,Fixed-fraction,MC-Dropout,middle,,0.8245141607775317,0.0,0,11591
FD004,Fixed-fraction,MC-Dropout,late,,0.9026746877337313,0.0,0,11350
FD004,Fixed-fraction,Split CP,early,,0.9570605377309324,0.0,0,11189
FD004,Fixed-fraction,Split CP,middle,,0.7829208107428058,0.0,0,11591
FD004,Fixed-fraction,Split CP,late,,0.8724533663073182,0.0,0,11350
FD004,Fixed-fraction,Mondrian CP (online),early,0.8444994551480722,0.8444994551480722,0.0,0,11189
FD004,Fixed-fraction,Mondrian CP (online),middle,0.7010007743923787,0.7010007743923787,0.0,0,11591
FD004,Fixed-fraction,Mondrian CP (online),late,0.8914665987595415,0.8914665987595415,0.0,0,11350
FD004,Fixed-fraction,Mondrian CP (frozen),early,0.8545882960543001,0.8539995953841585,0.009652337116811153,108,11189
FD004,Fixed-fraction,Mondrian CP (frozen),middle,0.71717643951794,0.7148421882210595,0.03787421275127254,439,11591
FD004,Fixed-fraction,Mondrian CP (frozen),late,0.8265411229271772,0.8087034307199773,0.23427312775330397,2659,11350
FD004,CUSUM,MC-Dropout,early,,0.9979161384381339,0.0,0,3404
FD004,CUSUM,MC-Dropout,middle,,0.9955260812842589,0.0,0,3490
FD004,CUSUM,MC-Dropout,late,,0.870093917314238,0.0,0,27236
FD004,CUSUM,Split CP,early,,0.9945613171034697,0.0,0,3404
FD004,CUSUM,Split CP,middle,,0.9931397005508824,0.0,0,3490
FD004,CUSUM,Split CP,late,,0.8355061284082946,0.0,0,27236
FD004,CUSUM,Mondrian CP (online),early,0.8504010392104508,0.8504010392104508,0.0,0,3404
FD004,CUSUM,Mondrian CP (online),middle,0.8033936960291367,0.8033936960291367,0.0,0,3490
FD004,CUSUM,Mondrian CP (online),late,0.7979411096683051,0.7979411096683051,0.0,0,27236
FD004,CUSUM,Mondrian CP (frozen),early,0.8401045986805713,0.8369010603207829,0.05082256169212691,173,3404
FD004,CUSUM,Mondrian CP (frozen),middle,0.8857601150901846,0.8857601150901846,0.07994269340974212,279,3490
FD004,CUSUM,Mondrian CP (frozen),late,0.7842490119810253,0.7790444348374498,0.1011161697752974,2754,27236
FD004,TrainPct,MC-Dropout,early,,0.9031835455972658,0.0,0,25908
FD004,TrainPct,MC-Dropout,middle,,0.9241966395741389,0.0,0,4812
FD004,TrainPct,MC-Dropout,late,,0.9613173228769197,0.0,0,3410
FD004,TrainPct,Split CP,early,,0.8765321923031575,0.0,0,25908
FD004,TrainPct,Split CP,middle,,0.9075916779931955,0.0,0,4812
FD004,TrainPct,Split CP,late,,0.9518416386523195,0.0,0,3410
FD004,TrainPct,Mondrian CP (online),early,0.804136022994577,0.804136022994577,0.0,0,25908
FD004,TrainPct,Mondrian CP (online),middle,0.8884250219898829,0.8884250219898829,0.0,0,4812
FD004,TrainPct,Mondrian CP (online),late,0.949335033476945,0.949335033476945,0.0,0,3410
FD004,TrainPct,Mondrian CP (frozen),early,0.7969835093557854,0.7942813285596217,0.011502238690751891,298,25908
FD004,TrainPct,Mondrian CP (frozen),middle,0.8965613162258885,0.8963030021798642,0.04530340814630091,218,4812
FD004,TrainPct,Mondrian CP (frozen),late,0.9550678955477474,0.8963161776495109,0.7888563049853372,2690,3410
FD004,Matched,MC-Dropout,early,,0.9925923049356488,0.0,0,3320
FD004,Matched,MC-Dropout,middle,,0.9791332148243914,0.0,0,3490
FD004,Matched,MC-Dropout,late,,0.8758579574378043,0.0,0,27320
FD004,Matched,Split CP,early,,0.9869109525822953,0.0,0,3320
FD004,Matched,Split CP,middle,,0.9713274841988078,0.0,0,3490
FD004,Matched,Split CP,late,,0.8428135464642533,0.0,0,27320
FD004,Matched,Mondrian CP (online),early,0.8260495356727209,0.8260495356727209,0.0,0,3320
FD004,Matched,Mondrian CP (online),middle,0.8744168074896674,0.8744168074896674,0.0,0,3490
FD004,Matched,Mondrian CP (online),late,0.8017850771893192,0.8017850771893192,0.0,0,27320
FD004,Matched,Mondrian CP (frozen),early,0.8249653260617453,0.8249653260617453,0.0,0,3320
FD004,Matched,Mondrian CP (frozen),middle,0.8651538620429626,0.8651538620429626,0.008595988538681949,30,3490
FD004,Matched,Mondrian CP (frozen),late,0.7870678141005404,0.7786861936149283,0.11625183016105417,3176,27320
