fd,convention,method,stage,ecr_finite_only,unbounded_rate,n_inf,n_total
FD003,CUSUM,MC-Dropout,middle,0.9799522002963299,0.0,0,2011
FD003,CUSUM,MC-Dropout,late,0.8341907913966418,0.0,0,10263
FD003,CUSUM,Split CP,early,0.9872563064465899,0.0,0,1982
FD003,CUSUM,Split CP,middle,0.96900376218278,0.0,0,2011
FD003,CUSUM,Split CP,late,0.8104055491354357,0.0,0,10263
FD003,CUSUM,Mondrian CP (online),early,0.864013620021001,0.0,0,1982
FD003,CUSUM,Mondrian CP (online),middle,0.7640610416426119,0.0,0,2011
FD003,CUSUM,Mondrian CP (online),late,0.7846845015260282,0.0,0,10263
FD003,CUSUM,Mondrian CP (split),early,0.9504827527717531,0.0,0,1982
FD003,CUSUM,Mondrian CP (split),middle,0.8872715037076983,0.0,0,2011
FD003,CUSUM,Mondrian CP (split),late,0.8490476644681981,0.0,0,10263
FD003,TrainPct,MC-Dropout,early,0.8885004322419373,0.0,0,10348
FD003,TrainPct,MC-Dropout,middle,0.9361538608910316,0.0,0,2084
FD003,TrainPct,MC-Dropout,late,0.935480142567116,0.0,0,1824
FD003,TrainPct,Split CP,early,0.8700138197210823,0.0,0,10348
FD003,TrainPct,Split CP,middle,0.9068849231763365,0.0,0,2084
FD003,TrainPct,Split CP,late,0.9137591056416086,0.0,0,1824
FD003,TrainPct,Mondrian CP (online),early,0.7939406850625983,0.0,0,10348
FD003,TrainPct,Mondrian CP (online),middle,0.9082072827259633,0.0,0,2084
FD003,TrainPct,Mondrian CP (online),late,0.9558733002154416,0.0,0,1824
FD003,TrainPct,Mondrian CP (split),early,0.871159837203116,0.0,0,10348
FD003,TrainPct,Mondrian CP (split),middle,0.9362888728797565,0.0,0,2084
FD003,TrainPct,Mondrian CP (split),late,0.925767455796379,0.0,0,1824
FD003,Matched,MC-Dropout,early,0.9908823529411764,0.0,0,1947
FD003,Matched,MC-Dropout,middle,0.9495090239399703,0.0,0,2015
FD003,Matched,MC-Dropout,late,0.8464412915904551,0.0,0,10294
FD003,Matched,Split CP,early,0.9827005347593583,0.0,0,1947
FD003,Matched,Split CP,middle,0.931877126141832,0.0,0,2015
FD003,Matched,Split CP,late,0.8210546212125833,0.0,0,10294
FD003,Matched,Mondrian CP (online),early,0.8228689432131896,0.0,0,1947
FD003,Matched,Mondrian CP (online),middle,0.8368837922979688,0.0,0,2015
FD003,Matched,Mondrian CP (online),late,0.7900402139653898,0.0,0,10294
FD003,Matched,Mondrian CP (split),early,0.9390730731831111,0.0,0,1947
FD003,Matched,Mondrian CP (split),middle,0.8967661203530768,0.0,0,2015
FD003,Matched,Mondrian CP (split),late,0.8452011802635477,0.0,0,10294
FD004,Fixed-fraction,MC-Dropout,early,0.9687753149087508,0.0,0,11189
FD004,Fixed-fraction,MC-Dropout,middle,0.8261074641765532,0.0,0,11591
FD004,Fixed-fraction,MC-Dropout,late,0.9032356431489117,0.0,0,11350
FD004,Fixed-fraction,Split CP,early,0.9571080234577659,0.0,0,11189
FD004,Fixed-fraction,Split CP,middle,0.783433879832122,0.0,0,11591
FD004,Fixed-fraction,Split CP,late,0.872507913768894,0.0,0,11350
FD004,Fixed-fraction,Mondrian CP (online),early,0.8351784907586964,0.0,0,11189
FD004,Fixed-fraction,Mondrian CP (online),middle,0.7153855107378042,0.0,0,11591
FD004,Fixed-fraction,Mondrian CP (online),late,0.8779296716764857,0.0001762114537444934,2,11350
FD004,Fixed-fraction,Mondrian CP (split),early,0.8651703617003736,0.0,0,11189
FD004,Fixed-fraction,Mondrian CP (split),middle,0.7953808893208665,0.0,0,11591
FD004,Fixed-fraction,Mondrian CP (split),late,0.8888712299827226,0.0,0,11350
FD004,CUSUM,MC-Dropout,early,0.9915144320806023,0.0,0,4699
FD004,CUSUM,MC-Dropout,middle,0.9767576856544862,0.0,0,4782
FD004,CUSUM,MC-Dropout,late,0.8586271330981464,0.0,0,24649
FD004,CUSUM,Split CP,early,0.9864470292142216,0.0,0,4699
FD004,CUSUM,Split CP,middle,0.9687632873022061,0.0,0,4782
FD004,CUSUM,Split CP,late,0.8177711788828528,0.0,0,24649
FD004,CUSUM,Mondrian CP (online),early,0.8249448891301636,0.0,0,4699
FD004,CUSUM,Mondrian CP (online),middle,0.8119454640080785,0.0,0,4782
FD004,CUSUM,Mondrian CP (online),late,0.7840369824191974,8.113919428780072e-05,2,24649
FD004,CUSUM,Mondrian CP (split),early,0.8546619550544365,0.0,0,4699
FD004,CUSUM,Mondrian CP (split),middle,0.8412391288179635,0.0,0,4782
FD004,CUSUM,Mondrian CP (split),late,0.8534473022647797,0.0,0,24649
