fd,seed,unit,bin,median_abs_s,n
FD001,4,99,1,1.071454322317872,15
FD001,4,99,2,0.9228478951065091,16
FD001,4,99,3,1.8945043406037634,15
FD001,4,99,4,0.481173400128194,16
FD001,4,99,5,0.8822115045521821,16
FD001,4,99,6,1.3696128490184503,15
FD001,4,99,7,0.567648450976765,15
FD001,4,99,8,1.0868617226821593,16
FD001,4,99,9,0.2874479196612403,16
FD001,4,59,0,0.09500471662713773,20
FD001,4,59,1,0.12193804722040291,20
FD001,4,59,2,0.40184634527358354,20
FD001,4,59,3,0.5607782467383425,20
FD001,4,59,4,1.3551915408745177,20
FD001,4,59,5,0.20428781656159428,20
FD001,4,59,6,0.4418380481283868,20
FD001,4,59,7,0.27255160208905926,20
FD001,4,59,8,0.8391145549120218,20
FD001,4,59,9,0.5780665523625416,21
FD001,4,10,0,0.1115591808805685,19
FD001,4,10,1,0.13293782117454192,19
FD001,4,10,2,0.36663194347537603,19
FD001,4,10,3,0.5448115725702655,19
FD001,4,10,4,0.5877499643205192,19
FD001,4,10,5,0.44404398907261156,20
FD001,4,10,6,0.8458013295094288,19
FD001,4,10,7,1.2126534098571922,19
FD001,4,10,8,0.7168784465386928,19
FD001,4,10,9,1.151884448874974,20
FD001,4,51,0,0.4148125709977065,18
FD001,4,51,1,0.26630511409634,18
FD001,4,51,2,0.6692280760984491,18
FD001,4,51,3,0.6672993055794687,19
FD001,4,51,4,0.6275526312499495,18
FD001,4,51,5,0.5330675646013778,18
FD001,4,51,6,0.7849798982128969,19
FD001,4,51,7,0.5394888801003452,18
FD001,4,51,8,0.39323737180485185,18
FD001,4,51,9,0.8637166467770032,19
FD001,4,73,0,0.5195947734240338,18
FD001,4,73,1,1.0887673169257932,18
FD001,4,73,2,0.8698427210140494,18
FD001,4,73,3,0.7291140605197315,19
FD001,4,73,4,0.38163749834317295,18
FD001,4,73,5,0.38274454971883487,18
FD001,4,73,6,0.301758777794473,19
FD001,4,73,7,0.18390206126268532,18
FD001,4,73,8,1.0993619064212479,18
FD001,4,73,9,0.6593817768947989,19
FD001,4,88,0,0.7268720810730638,18
FD001,4,88,1,1.1885182586780123,18
FD001,4,88,2,0.705952236207963,18
