fd,seed,unit,n_unit,t_knee_idx,t_knee_norm,t_cp_idx,t_cp_norm,cusum_triggered
FD001,2,44,163,37.0,0.22699386503067484,68,0.4171779141104294,True
FD001,2,23,139,13.0,0.09352517985611511,28,0.2014388489208633,True
FD001,2,73,184,58.0,0.31521739130434784,33,0.1793478260869565,True
FD001,2,16,180,54.0,0.3,180,1.0,False
FD001,2,41,187,61.0,0.32620320855614976,37,0.19786096256684493,True
FD001,3,21,166,40.0,0.24096385542168675,54,0.3253012048192771,True
FD001,3,39,99,,,26,0.26262626262626265,True
FD001,3,95,254,128.0,0.5039370078740157,81,0.3188976377952756,True
FD001,3,11,211,85.0,0.4028436018957346,42,0.1990521327014218,True
FD001,3,42,167,41.0,0.24550898203592814,41,0.24550898203592814,True
FD001,3,75,200,74.0,0.37,52,0.26,True
FD001,3,20,205,79.0,0.3853658536585366,8,0.03902439024390244,True
FD001,3,22,173,47.0,0.27167630057803466,32,0.18497109826589594,True
FD001,3,1,163,37.0,0.22699386503067484,34,0.2085889570552147,True
FD001,3,73,184,58.0,0.31521739130434784,33,0.1793478260869565,True
FD001,3,57,108,,,29,0.26851851851851855,True
FD001,3,4,160,34.0,0.2125,44,0.275,True
FD001,3,25,201,75.0,0.373134328358209,45,0.22388059701492538,True
FD001,4,37,141,15.0,0.10638297872340426,29,0.20567375886524822,True
FD001,4,58,118,,,24,0.2033898305084746,True
FD001,4,91,106,,,22,0.20754716981132076,True
FD001,4,99,156,30.0,0.19230769230769232,43,0.27564102564102566,True
FD001,4,59,202,76.0,0.37623762376237624,72,0.3564356435643564,True
FD001,4,10,193,67.0,0.3471502590673575,72,0.37305699481865284,True
FD001,4,51,184,58.0,0.31521739130434784,36,0.1956521739130435,True
FD001,4,73,184,58.0,0.31521739130434784,33,0.1793478260869565,True
FD001,4,88,184,58.0,0.31521739130434784,26,0.14130434782608695,True
FD001,4,2,258,132.0,0.5116279069767442,112,0.43410852713178294,True
FD001,4,70,108,,,108,1.0,False
FD001,4,56,246,120.0,0.4878048780487805,39,0.15853658536585366,True
FD001,4,47,185,59.0,0.31891891891891894,122,0.6594594594594595,True
FD002,0,116,178,52.0,0.29213483146067415,40,0.2247191011235955,True
FD002,0,149,260,134.0,0.5153846153846153,60,0.23076923076923078,True
FD002,0,255,311,185.0,0.594855305466238,54,0.17363344051446947,True
FD002,0,73,210,84.0,0.4,69,0.32857142857142857,True
FD002,0,78,132,6.0,0.045454545454545456,47,0.3560606060606061,True
FD002,0,26,158,32.0,0.20253164556962025,49,0.310126582278481,True
FD002,0,166,175,49.0,0.28,54,0.30857142857142855,True
FD002,0,82,171,45.0,0.2631578947368421,46,0.26900584795321636,True
FD002,0,244,99,,,99,1.0,False
FD002,0,175,173,47.0,0.27167630057803466,67,0.3872832369942196,True
FD002,0,247,168,42.0,0.25,48,0.2857142857142857,True
FD002,0,40,164,38.0,0.23170731707317074,33,0.20121951219512196,True
FD002,0,231,115,,,33,0.28695652173913044,True
FD002,0,194,119,,,25,0.21008403361344538,True
FD002,0,59,165,39.0,0.23636363636363636,165,1.0,False
FD002,0,141,134,8.0,0.05970149253731343,28,0.208955223880597,True
FD002,0,89,159,33.0,0.20754716981132076,33,0.20754716981132076,True
FD002,0,217,133,7.0,0.05263157894736842,26,0.19548872180451127,True
FD002,0,71,165,39.0,0.23636363636363636,71,0.4303030303030303,True
FD002,0,88,336,210.0,0.625,65,0.19345238095238096,True
FD002,0,37,181,55.0,0.30386740331491713,115,0.6353591160220995,True
FD002,0,243,201,75.0,0.373134328358209,22,0.10945273631840796,True
FD002,0,22,163,37.0,0.22699386503067484,65,0.3987730061349693,True
FD002,0,212,120,,,26,0.21666666666666667,True
FD002,0,10,155,29.0,0.1870967741935484,61,0.3935483870967742,True
FD002,0,104,199,73.0,0.36683417085427134,58,0.2914572864321608,True
FD002,0,196,210,84.0,0.4,33,0.15714285714285714,True
FD002,0,252,106,,,106,1.0,False
FD002,0,68,156,30.0,0.19230769230769232,95,0.6089743589743589,True
FD002,0,193,143,17.0,0.11888111888111888,75,0.5244755244755245,True
FD002,0,118,315,189.0,0.6,20,0.06349206349206349,True
FD002,0,48,210,84.0,0.4,47,0.22380952380952382,True
FD002,0,173,122,,,30,0.2459016393442623,True
FD002,1,87,141,15.0,0.10638297872340426,29,0.20567375886524822,True
FD002,1,97,116,,,24,0.20689655172413793,True
FD002,1,223,189,63.0,0.3333333333333333,102,0.5396825396825397,True
FD002,1,232,213,87.0,0.4084507042253521,23,0.107981220657277,True
FD002,1,216,200,74.0,0.37,67,0.335,True
FD002,1,69,107,,,22,0.205607476635514,True
FD002,1,51,264,138.0,0.5227272727272727,81,0.3068181818181818,True
FD002,1,143,137,11.0,0.08029197080291971,36,0.26277372262773724,True
FD002,1,158,279,153.0,0.5483870967741935,41,0.14695340501792115,True
FD002,1,157,208,82.0,0.3942307692307692,71,0.34134615384615385,True
FD002,1,235,154,28.0,0.18181818181818182,154,1.0,False
FD002,1,140,185,59.0,0.31891891891891894,37,0.2,True
FD002,1,213,167,41.0,0.24550898203592814,52,0.31137724550898205,True
FD002,1,147,178,52.0,0.29213483146067415,43,0.24157303370786518,True
FD002,1,102,135,9.0,0.06666666666666667,56,0.4148148148148148,True
FD002,1,21,160,34.0,0.2125,37,0.23125,True
FD002,1,179,152,26.0,0.17105263157894737,30,0.19736842105263158,True
FD002,1,26,158,32.0,0.20253164556962025,44,0.27848101265822783,True
FD002,1,135,265,139.0,0.5245283018867924,31,0.1169811320754717,True
FD002,1,238,127,1.0,0.007874015748031496,32,0.25196850393700787,True
FD002,1,72,167,41.0,0.24550898203592814,32,0.19161676646706588,True
FD002,1,205,169,43.0,0.25443786982248523,169,1.0,False
FD002,1,130,153,27.0,0.17647058823529413,71,0.46405228758169936,True
FD002,1,145,222,96.0,0.43243243243243246,63,0.28378378378378377,True
FD002,1,193,143,17.0,0.11888111888111888,51,0.35664335664335667,True
FD002,1,80,192,66.0,0.34375,37,0.19270833333333334,True
FD002,1,134,218,92.0,0.42201834862385323,113,0.518348623853211,True
FD002,1,204,208,82.0,0.3942307692307692,20,0.09615384615384616,True
FD002,1,138,171,45.0,0.2631578947368421,56,0.32748538011695905,True
FD002,1,256,134,8.0,0.05970149253731343,29,0.21641791044776118,True
FD002,1,73,210,84.0,0.4,65,0.30952380952380953,True
FD002,1,236,210,84.0,0.4,41,0.19523809523809524,True
FD002,1,38,148,22.0,0.14864864864864866,40,0.2702702702702703,True
FD002,2,59,165,39.0,0.23636363636363636,94,0.5696969696969697,True
FD002,2,34,176,50.0,0.2840909090909091,62,0.3522727272727273,True
FD002,2,39,185,59.0,0.31891891891891894,59,0.31891891891891894,True
FD002,2,104,199,73.0,0.36683417085427134,48,0.24120603015075376,True
FD002,2,52,145,19.0,0.1310344827586207,38,0.2620689655172414,True
FD002,2,108,127,1.0,0.007874015748031496,86,0.6771653543307087,True
FD002,2,171,229,103.0,0.4497816593886463,49,0.21397379912663755,True
FD002,2,5,125,,,26,0.208,True
FD002,2,103,251,125.0,0.49800796812749004,54,0.2151394422310757,True
FD002,2,196,210,84.0,0.4,27,0.12857142857142856,True
